
;22020002;Correios;Impresso Econômico;RJ;Módico; 10
;22020002;GolLog;GolLog DOC;NA;DOC; 2
;22020002;Jadlog;Jadlog Rodoviario;RJ;Capital; 2
;22020002;Loggi;Loggi Standard;RJ;RJ Zona 1; 2
;22020002;Transfolha;Transfolha Terrestre;RJ;RJ 3; 3
;22020002;Speedlog;Speedlog Standard;RJ;Capital; 4
;22020002;SPLog;SPLog Standard;RJ;RJ; 15
;22020002;Azul Cargo;Azul Cargo Express;RJ;Capital; 6
;56460000;Correios;Impresso Econômico;PE;Módico; 10
;56460000;Jadlog;Jadlog Rodoviario;PE;Interior; 12
;35420000;Correios;Impresso Econômico;MG;Módico; 10
;35420000;Jadlog;Jadlog Rodoviario;MG;Capital; 3
;35420000;Nowlog;Nowlog Standard;MG;INT.01; 6
;76808524;Correios;Impresso Econômico;RO;Módico; 12
;76808524;GolLog;GolLog DOC;NA;DOC; 4
;76808524;Jadlog;Jadlog Rodoviario;RO;Capital; 15
;76808524;Nowlog;Nowlog Standard;RO;CAP.01; 8
;76808524;Azul Cargo;Azul Cargo Express;RO;Capital; 6
;13070203;Correios;Impresso Econômico;SP;Módico; 9
;13070203;GolLog;GolLog DOC;NA;DOC; 2
;13070203;Jadlog;Jadlog Rodoviario;SP;Capital; 2
;13070203;Loggi;Loggi Standard;SP;Campinas Zona 1; 1
;13070203;Transfolha;Transfolha Terrestre;SP;INT 1; 3
;13070203;Speedlog;Speedlog Standard;SP;Interior; 4
;13070203;Azul Cargo;Azul Cargo Express;SP;Capital; 5
;90250000;Correios;Impresso Econômico;RS;Módico; 8
;90250000;Dialogo Logistica;Dialogo Standard;RS;CAPITAL; 3
;90250000;GolLog;GolLog DOC;NA;DOC; 2
;90250000;Jadlog;Jadlog Rodoviario;RS;Capital; 2
;90250000;Loggi;Loggi Standard;RS;RS Zona 1; 3
;90250000;Transfolha;Transfolha Terrestre;RS;CAP; 4
;90250000;SPLog;SPLog Standard;RS;RS; 15
;89126000;Correios;Impresso Econômico;SC;Módico; 11
;89126000;Dialogo Logistica;Dialogo Standard;SC;INTERIOR II; 5
;89126000;Jadlog;Jadlog Rodoviario;SC;Interior; 5
;89126000;Transfolha;Transfolha Terrestre;SC;INT; 7
;11055150;Correios;Impresso Econômico;SP;Módico; 9
;11055150;GolLog;GolLog DOC;NA;DOC; 3
;11055150;Jadlog;Jadlog Rodoviario;SP;Capital; 2
;11055150;Loggi;Loggi Standard;SP;Santos Zona 1; 1
;11055150;Transfolha;Transfolha Terrestre;SP;INT 3; 3
;11055150;Speedlog;Speedlog Standard;SP;Interior; 4
;11055150;Azul Cargo;Azul Cargo Express;SP;Capital; 5
;57052000;Correios;Impresso Econômico;AL;Módico; 14
;57052000;GolLog;GolLog DOC;NA;DOC; 2
;57052000;Jadlog;Jadlog Rodoviario;AL;Capital; 8
;57052000;Nowlog;Nowlog Standard;AL;CAP.01; 5
;57052000;SPLog;SPLog Standard;AL;AL; 15
;57052000;Azul Cargo;Azul Cargo Express;AL;Capital; 5
;6543635;Correios;Impresso Econômico;SP;Módico; 9
;6543635;GolLog;GolLog DOC;NA;DOC; 4
;6543635;Jadlog;Jadlog Rodoviario;SP;Capital; 3
;6543635;Loggi;Loggi Standard;SP;SP Zona 2; 1
;6543635;Nowlog;Nowlog Standard;SP;CAP.02; 5
;6543635;Transfolha;Transfolha Terrestre;SP;GSP 3; 3
;6543635;Speedlog;Speedlog Standard;SP;Capital; 3
;11930000;Correios;Impresso Econômico;SP;Módico; 9
;11930000;Jadlog;Jadlog Rodoviario;SP;Interior; 6
;11930000;Speedlog;Speedlog Standard;SP;Interior; 7
;14020680;Correios;Impresso Econômico;SP;Módico; 9
;14020680;GolLog;GolLog DOC;NA;DOC; 3
;14020680;Jadlog;Jadlog Rodoviario;SP;Capital; 2
;14020680;Loggi;Loggi Standard;SP;Ribeirão Zona 1; 1
;14020680;Transfolha;Transfolha Terrestre;SP;INT 1; 3
;14020680;Speedlog;Speedlog Standard;SP;Interior; 6
;14020680;Azul Cargo;Azul Cargo Express;SP;Capital; 5
;2765417;Correios;Impresso Econômico;SP;Módico; 9
;2765417;GolLog;GolLog DOC;NA;DOC; 3
;2765417;Jadlog;Jadlog Rodoviario;SP;Capital; 2
;2765417;Nowlog;Nowlog Standard;SP;CAP.01; 4
;2765417;Transfolha;Transfolha Terrestre;SP;GSP 2; 2
;2765417;SPLog;SPLog Standard;SP;SPC; 15
;2765417;Azul Cargo;Azul Cargo Express;SP;Capital; 5
;96060470;Correios;Impresso Econômico;RS;Módico; 8
;96060470;Dialogo Logistica;Dialogo Standard;RS;INTERIOR I; 4
;96060470;Jadlog;Jadlog Rodoviario;RS;Capital; 3
;96060470;Transfolha;Transfolha Terrestre;RS;INT 1; 6
;9892180;Correios;Impresso Econômico;SP;Módico; 9
;9892180;Jadlog;Jadlog Rodoviario;SP;Capital; 2
;9892180;Loggi;Loggi Standard;SP;SP Zona 2; 1
;9892180;Nowlog;Nowlog Standard;SP;CAP.02; 5
;9892180;Transfolha;Transfolha Terrestre;SP;GSP 3; 3
;9892180;Speedlog;Speedlog Standard;SP;Capital; 3
;9892180;Azul Cargo;Azul Cargo Express;SP;Capital; 5
;86191900;Correios;Impresso Econômico;PR;Módico; 9
;86191900;Dialogo Logistica;Dialogo Standard;PR;INTERIOR I; 6
;86191900;Jadlog;Jadlog Rodoviario;PR;Capital; 2
;86191900;Transfolha;Transfolha Terrestre;PR;INT; 4
;95700000;Correios;Impresso Econômico;RS;Módico; 8
;95700000;Dialogo Logistica;Dialogo Standard;RS;INTERIOR I; 4
;95700000;GolLog;GolLog DOC;NA;DOC; 3
;95700000;Transfolha;Transfolha Terrestre;RS;INT 1; 6
;5410020;Correios;Impresso Econômico;SP;Módico; 9
;5410020;GolLog;GolLog DOC;NA;DOC; 3
;5410020;Jadlog;Jadlog Rodoviario;SP;Capital; 2
;5410020;Loggi;Loggi Standard;SP;SP Zona 1; 1
;5410020;Nowlog;Nowlog Standard;SP;CAP.01; 4
;5410020;Transfolha;Transfolha Terrestre;SP;GSP 2; 1
;5410020;Speedlog;Speedlog Standard;SP;Capital; 3
;5410020;SPLog;SPLog Standard;SP;SPC; 15
;5410020;Azul Cargo;Azul Cargo Express;SP;Capital; 5
;15600000;Correios;Impresso Econômico;SP;Módico; 9
;15600000;Jadlog;Jadlog Rodoviario;SP;Capital; 4
;15600000;Transfolha;Transfolha Terrestre;SP;INT 2; 3
;99655000;Correios;Impresso Econômico;RS;Módico; 8
;99655000;Dialogo Logistica;Dialogo Standard;RS;INTERIOR II; 5
;99655000;Jadlog;Jadlog Rodoviario;RS;Interior; 7
;99655000;Transfolha;Transfolha Terrestre;RS;INT 1; 8
;23860000;Correios;Impresso Econômico;RJ;Módico; 10
;23860000;Jadlog;Jadlog Rodoviario;RJ;Capital; 5
;23860000;Speedlog;Speedlog Standard;RJ;Interior; 7
;86390000;Correios;Impresso Econômico;PR;Módico; 9
;86390000;Dialogo Logistica;Dialogo Standard;PR;INTERIOR I; 6
;86390000;Jadlog;Jadlog Rodoviario;PR;Interior; 5
;86390000;Transfolha;Transfolha Terrestre;PR;INT; 4
;95700074;Correios;Impresso Econômico;RS;Módico; 8
;95700074;Dialogo Logistica;Dialogo Standard;RS;INTERIOR I; 4
;95700074;GolLog;GolLog DOC;NA;DOC; 3
;95700074;Jadlog;Jadlog Rodoviario;RS;Capital; 3
;95700074;Transfolha;Transfolha Terrestre;RS;INT 1; 6
;81200100;Correios;Impresso Econômico;PR;Módico; 9
;81200100;Dialogo Logistica;Dialogo Standard;PR;CAPITAL; 4
;81200100;GolLog;GolLog DOC;NA;DOC; 2
;81200100;Jadlog;Jadlog Rodoviario;PR;Capital; 2
;81200100;Loggi;Loggi Standard;PR;PR Zona 1; 1
;81200100;Transfolha;Transfolha Terrestre;PR;CAP; 3
;81200100;SPLog;SPLog Standard;PR;PR; 15
;81200100;Azul Cargo;Azul Cargo Express;PR;Capital; 5
;51021150;Correios;Impresso Econômico;PE;Módico; 10
;51021150;GolLog;GolLog DOC;NA;DOC; 2
;51021150;Jadlog;Jadlog Rodoviario;PE;Capital; 7
;51021150;Loggi;Loggi Standard;PE;PE Zona 1; 3
;51021150;Nowlog;Nowlog Standard;PE;CAP.01; 5
;51021150;SPLog;SPLog Standard;PE;PE; 15
;51021150;Azul Cargo;Azul Cargo Express;PE;Capital; 5
;36520000;Correios;Impresso Econômico;MG;Módico; 10
;36520000;Jadlog;Jadlog Rodoviario;MG;Capital; 3
;36520000;Nowlog;Nowlog Standard;MG;INT.01; 6
;70687150;Correios;Impresso Econômico;DF;Módico; 11
;70687150;GolLog;GolLog DOC;NA;DOC; 2
;70687150;Jadlog;Jadlog Rodoviario;DF;Capital; 3
;70687150;Loggi;Loggi Standard;DF;DF Zona 1; 3
;70687150;Nowlog;Nowlog Standard;DF;CAP.01; 4
;70687150;Transfolha;Transfolha Terrestre;DF;INT; 3
;70687150;SPLog;SPLog Standard;DF;DF; 15
;70687150;Azul Cargo;Azul Cargo Express;DF;Capital; 5
;39600000;Correios;Impresso Econômico;MG;Módico; 10
;39600000;Jadlog;Jadlog Rodoviario;MG;Interior; 5
;90630090;Correios;Impresso Econômico;RS;Módico; 8
;90630090;Dialogo Logistica;Dialogo Standard;RS;CAPITAL; 3
;90630090;GolLog;GolLog DOC;NA;DOC; 2
;90630090;Jadlog;Jadlog Rodoviario;RS;Capital; 2
;90630090;Loggi;Loggi Standard;RS;RS Zona 1; 3
;90630090;Transfolha;Transfolha Terrestre;RS;CAP; 4
;90630090;SPLog;SPLog Standard;RS;RS; 15
;1230020;Correios;Impresso Econômico;SP;Módico; 9
;1230020;GolLog;GolLog DOC;NA;DOC; 3
;1230020;Jadlog;Jadlog Rodoviario;SP;Capital; 2
;1230020;Loggi;Loggi Standard;SP;SP Zona 1; 1
;1230020;Nowlog;Nowlog Standard;SP;CAP.01; 4
;1230020;Transfolha;Transfolha Terrestre;SP;GSP 2; 1
;1230020;Speedlog;Speedlog Standard;SP;Capital; 3
;1230020;SPLog;SPLog Standard;SP;SPC; 15
;1230020;Azul Cargo;Azul Cargo Express;SP;Capital; 5
;99900000;Correios;Impresso Econômico;RS;Módico; 8
;99900000;Dialogo Logistica;Dialogo Standard;RS;INTERIOR II; 5
;99900000;Jadlog;Jadlog Rodoviario;RS;Interior; 5
;99900000;Transfolha;Transfolha Terrestre;RS;INT 1; 7
;6473000;Correios;Impresso Econômico;SP;Módico; 9
;6473000;GolLog;GolLog DOC;NA;DOC; 3
;6473000;Jadlog;Jadlog Rodoviario;SP;Capital; 2
;6473000;Loggi;Loggi Standard;SP;SP Zona 2; 1
;6473000;Nowlog;Nowlog Standard;SP;CAP.02; 5
;6473000;Transfolha;Transfolha Terrestre;SP;GSP 2; 2
;6473000;Speedlog;Speedlog Standard;SP;Capital; 3
;6473000;Azul Cargo;Azul Cargo Express;SP;Capital; 5
;68440000;Correios;Impresso Econômico;PA;Módico; 12
;68440000;Jadlog;Jadlog Rodoviario;PA;Interior; 14
;21350080;Correios;Impresso Econômico;RJ;Módico; 10
;21350080;GolLog;GolLog DOC;NA;DOC; 3
;21350080;Jadlog;Jadlog Rodoviario;RJ;Capital; 2
;21350080;Speedlog;Speedlog Standard;RJ;Capital; 5
;21350080;SPLog;SPLog Standard;RJ;RJ; 15
;21350080;Azul Cargo;Azul Cargo Express;RJ;Capital; 6
;86020520;Correios;Impresso Econômico;PR;Módico; 9
;86020520;Dialogo Logistica;Dialogo Standard;PR;INTERIOR I; 5
;86020520;GolLog;GolLog DOC;NA;DOC; 2
;86020520;Jadlog;Jadlog Rodoviario;PR;Capital; 2
;86020520;Transfolha;Transfolha Terrestre;PR;CAP; 3
;86020520;Azul Cargo;Azul Cargo Express;PR;Capital; 5
;86191210;Correios;Impresso Econômico;PR;Módico; 9
;86191210;Dialogo Logistica;Dialogo Standard;PR;INTERIOR I; 6
;86191210;Jadlog;Jadlog Rodoviario;PR;Capital; 2
;86191210;Transfolha;Transfolha Terrestre;PR;INT; 4
;99200000;Correios;Impresso Econômico;RS;Módico; 8
;99200000;Dialogo Logistica;Dialogo Standard;RS;INTERIOR II; 5
;99200000;Jadlog;Jadlog Rodoviario;RS;Interior; 4
;99200000;Transfolha;Transfolha Terrestre;RS;INT 1; 7
;63907070;Correios;Impresso Econômico;CE;Módico; 12
;63907070;Jadlog;Jadlog Rodoviario;CE;Interior; 12
;12606150;Correios;Impresso Econômico;SP;Módico; 9
;12606150;Jadlog;Jadlog Rodoviario;SP;Capital; 2
;12606150;Transfolha;Transfolha Terrestre;SP;INT 3; 4
;12606150;Speedlog;Speedlog Standard;SP;Interior; 7
;94850610;Correios;Impresso Econômico;RS;Módico; 8
